,Name,PositionInDistanceMatrix,Lon,Lat
0,VAMC,0,-122.5052900022,37.782505768969
1,Chinese,1,-122.4087991022,37.795500429055
2,St Francis,2,-122.416986511869,37.7901086974042
3,CPMC Van Ness,3,-122.422232075354,37.7864757738209
4,Kaiser,4,-122.443053685691,37.7832728233138
5,St Mary,5,-122.453542386657,37.774109913406
6,Sobering center,6,-122.412490294211,37.7783348422348
7,Davies,7,-122.435430915494,37.768810707216
8,UCSF-PARN,8,-122.457430585174,37.7631910406136
9,ZSFG,9,-122.405371286661,37.7555563581001
10,CPMC Bernal,10,-122.421461136045,37.7474140421734
