,Name,PositionInDistanceMatrix,Lon,Lat
0,San Francisco Fire Station 51,0,-122.45589745116904,37.80177599380548
1,San Francisco Fire Station 13,1,-122.40103430016806,37.79543522571764
2,San Francisco Fire Station 10,2,-122.44669428856756,37.78556433962802
3,San Francisco Fire Station 35,3,-122.38878412778436,37.790327252243785
4,San Francisco Fire Station 6,4,-122.4304833033334,37.76697150130059
5,San Francisco Fire Station 15,5,-122.4531560076369,37.72358027479263
6,San Francisco Fire Station 37,6,-122.39904608128435,37.75734542012686
7,San Francisco Fire Station 7,7,-122.4150846116562,37.76015027253188
8,San Francisco Fire Station 8,8,-122.39627386399968,37.7771226616779
9,San Francisco Fire Station 11,9,-122.42655274783436,37.74882828868176
10,San Francisco Fire Station 9,10,-122.4014195730623,37.745290654276765
11,San Francisco Fire Station 12,11,-122.45276458578908,37.763496132936965
12,San Francisco Fire Station 14,12,-122.4859940786534,37.778988549993
13,San Francisco Fire Station 16,13,-122.43732649692129,37.79879524284039
14,San Francisco Fire Station 17,14,-122.38551011938254,37.72765884256219
15,San Francisco Fire Station 28,15,-122.40923827314336,37.80251223903873
16,San Francisco Fire Station 18,16,-122.4906000347566,37.75100468816518
17,San Francisco Fire Station 23,17,-122.50307494069833,37.760935550280685
18,San Francisco Fire Station 31,18,-122.47108983817547,37.77982146376
19,San Francisco Fire Station 29,19,-122.40445367009286,37.766179935861565
20,San Francisco Fire Station 1,20,-122.40358105246766,37.77925653409505
21,San Francisco Fire Station 36,21,-122.42185479741306,37.77515466582196
22,San Francisco Fire Station 38,22,-122.42960928263663,37.78960430969888
23,San Francisco Fire Station 41,23,-122.417935090871,37.79382240842926
24,San Francisco Fire Station 3,24,-122.4195209329663,37.7867072003841
25,San Francisco Fire Station 21,25,-122.44084126220372,37.77557035094147
26,San Francisco Fire Station 24,26,-122.44137848660228,37.75322607258808
27,San Francisco Fire Station 20,27,-122.45597633811656,37.751099613740784
28,San Francisco Fire Station 22,28,-122.473177598225,37.76379617511992
29,San Francisco Fire Station 40,29,-122.47575351266694,37.74774962185085
30,San Francisco Fire Station 26,30,-122.43313184419424,37.740230316413424
31,San Francisco Fire Station 32,31,-122.42168553254612,37.73649660159749
32,San Francisco Fire Station 39,32,-122.45793624045352,37.739798002394245
33,San Francisco Fire Station 25,33,-122.38669127142522,37.74657305286721
34,San Francisco Fire Station 49,34,-122.40186948094738,37.74456847237969
35,San Francisco Fire Station 2,35,-122.4094035489005,37.796883346893466
36,San Francisco Fire Station 19,36,-122.47903655968216,37.72786555208329
37,San Francisco Fire Station 44,37,-122.40079970339087,37.71676125182304
38,San Francisco Fire Station 42,38,-122.40504855535195,37.73142190837925
39,San Francisco Fire Station 43,39,-122.43178460702968,37.71640662682021
40,San Francisco Fire Station 34,40,-122.5018553095549,37.779240445863465
41,San Francisco Fire Station 5,41,-122.4306694239362,37.78037054484387
42,San Francisco Fire Station 4,42,-122.3891338,37.7728017
43,San Francisco Fire Station 33,43,-122.458984818975,37.7109797974707
44,San Francisco Fire Station 48,44,-122.36986381239116,37.826222034401695
